CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,GLOBALID,GLOBALID_GUID,CREATED_DT,MODIFIED_ACTION,MODIFIED_DT,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Fut_no_green,Green Count,Total Stops,Service Coverage,SS_Ser Cov Future
Residential,1,RAM,RAMSAY,CENTRE,ESTABLISHED,INNER CITY,{F6A6FF52-49C5-44AE-B97A-864483E9054C},{E9F72625-0D2D-47AD-A80D-52B587AC8B8D},10:07.0,MODIFIED ATTRIBUTE,46:38.0,7360.030659,2489968.912,0.044739484,1,1,2,8.03E-07,0.128410202
Residential,1,RAN,RANCHLANDS,NORTHWEST,ESTABLISHED,1960s/1970s,{307B50BE-B4F0-4B34-B910-CB64BF118C11},{5BB779D3-6FF0-4874-A7D0-CB02975CD54C},43:05.0,MODIFIED ATTRIBUTE,33:47.0,10450.17872,5931137.623,0,0,0,0,0,0
Residential,1,RED,RED CARPET,EAST,ESTABLISHED,1960s/1970s,{157B5D20-943E-4A3A-B50E-4B42090AC3F6},{5EBBDE0B-519A-4685-BA05-4A436FDC0180},10:21.0,MODIFIED ATTRIBUTE,04:44.0,5757.744375,1421978.422,0.108491287,1,0,1,7.03E-07,0.112426956
Residential,1,RSN,REDSTONE,NORTHEAST,DEVELOPING,2000s,{8912B83C-81FA-42E4-8EF3-88731CB3884F},{934752D6-DBD1-4673-B73F-5BA48BB527F5},32:53.0,CREATED,32:53.0,9174.68194,4960939.92,0.051672976,1,0,1,2.02E-07,0.032225487
Residential,1,REN,RENFREW,CENTRE,ESTABLISHED,INNER CITY,{15EF38EC-E7BC-4F48-BCA8-3233C236D329},{9053CDAA-AEB7-4194-A8F1-904A8DB603A8},10:25.0,MODIFIED ATTRIBUTE,55:34.0,12650.02343,6718715.515,0.153910085,2,0,2,2.98E-07,0.047589068
Residential,1,RIC,RICHMOND,CENTRE,ESTABLISHED,1950s,{73EC7DE1-2CA7-4AC5-B844-E2256ECAF7C6},{16A2857A-F490-46CA-9604-3D96305A3C2E},10:04.0,MODIFIED ATTRIBUTE,48:19.0,10799.92264,4812262.011,0.465564161,3,0,3,6.23E-07,0.099663342
Residential,1,RID,RIDEAU PARK,CENTRE,ESTABLISHED,INNER CITY,{2C1489AF-EB76-4DC2-BDE4-F3531BB28E74},{C8720EA9-D605-4BC8-BDC4-C7BD6A2A815C},10:30.0,MODIFIED ATTRIBUTE,25:10.0,3626.733522,674276.1738,0,0,0,0,0,0
Residential,1,RIV,RIVERBEND,SOUTHEAST,ESTABLISHED,1980s/1990s,{5BAD0F44-AA04-4EB0-AF1E-1A67AD8B9A59},{33A6F939-8E78-43A0-A9B3-3F493DADF8B6},10:15.0,MODIFIED ATTRIBUTE,27:43.0,14247.75551,10227153.69,0.225792571,2,1,3,2.93E-07,0.046895366
Residential,1,ROC,ROCKY RIDGE,NORTHWEST,COMPLETE,2000s,{F0FF8BE5-4C39-4463-81DF-FCED4E9776B2},{C45C71F3-C12A-4593-B830-8A41EEDB681B},43:03.0,MODIFIED ATTRIBUTE,21:42.0,11200.75558,7126484.825,0.209427745,3,0,3,4.21E-07,0.067299114
Residential,1,RDL,ROSEDALE,CENTRE,ESTABLISHED,INNER CITY,{D734FFA9-2797-4857-8F11-DC67F10C4667},{C59713E4-4C17-4EAA-9E01-22119F745AE2},10:30.0,MODIFIED ATTRIBUTE,26:52.0,5946.193585,1673098.771,0.048681201,1,0,1,5.98E-07,0.095552461
Residential,1,RMT,ROSEMONT,CENTRE,ESTABLISHED,1950s,{AB3B3BE9-F8E8-43DD-9DCA-0A0D292F2B76},{50DFA870-99ED-42DA-AD05-C0EEC48E06E3},10:05.0,MODIFIED ATTRIBUTE,57:45.0,4465.397955,1136520.281,0,0,0,0,0,0
Residential,1,RCK,ROSSCARROCK,WEST,ESTABLISHED,1950s,{E33C9843-E4A7-42BA-B552-991EF884DB1A},{BB67B0A2-3D2E-4B2B-8880-4412941E1EA1},10:31.0,MODIFIED ATTRIBUTE,37:29.0,6942.271611,2696590.488,0.036199339,1,0,1,3.71E-07,0.059285496
Residential,1,ROX,ROXBORO,CENTRE,ESTABLISHED,INNER CITY,{4E1B2B59-E7FC-42F2-B2C3-933C70D3750B},{ABD8D64F-378A-4620-BC16-2EDC6F6FAC6A},10:03.0,MODIFIED ATTRIBUTE,00:45.0,3725.311736,686534.5779,0,0,0,0,0,0
Residential,1,ROY,ROYAL OAK,NORTHWEST,COMPLETE,2010s,{D0A53A12-0E84-4F73-883A-864B8428A6AC},{86326D37-61B8-4E71-932A-CEB2DEC4509C},11:37.0,MODIFIED ATTRIBUTE,23:53.0,12263.20684,9038887.621,0.2869601,4,0,4,4.43E-07,0.070747071
Residential,1,RUN,RUNDLE,NORTHEAST,ESTABLISHED,1960s/1970s,{0EB5EF7D-F331-42EE-B506-224DB652596F},{DE5548BF-E97C-436A-A028-7F79F51D6215},10:13.0,MODIFIED ATTRIBUTE,57:04.0,10339.68975,6682446.883,0.432318302,5,0,5,7.48E-07,0.119618388
Residential,1,RUT,RUTLAND PARK,WEST,ESTABLISHED,1950s,{636D1A72-FC23-47C2-8646-565E1F89EEA7},{4F654117-5243-420C-BAD8-BD7DD7BD2258},10:07.0,MODIFIED ATTRIBUTE,44:51.0,6870.116631,1719314.764,0.10714127,2,0,2,1.16E-06,0.185967931
Residential,1,SAD,SADDLE RIDGE,NORTHEAST,DEVELOPING,2000s,{E760476B-531E-4F40-9EB3-8CE73B773ADF},{B93DA91B-5790-414D-897C-0666BD630C65},10:22.0,CREATED,10:22.0,17465.11496,14189646.75,0.413728214,3,0,3,2.11E-07,0.033799722
Residential,1,SGH,SAGE HILL,NORTH,DEVELOPING,BUILDING OUT,{2062294F-646B-49AC-BB7B-05343E1102B3},{FC098E10-ADAC-4450-8EF0-DF6DFDC44380},53:23.0,CREATED,53:23.0,13348.24747,9457561.947,0.562016376,5,0,5,5.29E-07,0.084518984
Residential,1,SAN,SANDSTONE VALLEY,NORTH,ESTABLISHED,1980s/1990s,{9C2FD4E7-0761-449D-91E5-71E107C8BDD7},{77632C20-15B2-41BB-B60D-6BC5F494D73C},10:20.0,MODIFIED ATTRIBUTE,51:11.0,8705.894068,4567472.928,0,0,0,0,0,0
Residential,1,SCA,SCARBORO,CENTRE,ESTABLISHED,INNER CITY,{576B0065-9082-4419-98EA-53355E32F117},{A5B803B2-E707-4544-855D-897570C489F5},10:06.0,MODIFIED ATTRIBUTE,01:22.0,4906.510964,1151651.009,0.033078077,1,0,1,8.68E-07,0.138816971
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,ESTABLISHED,1950s,{5936B46F-F8D8-47AA-980C-F90E51E12291},{1D1B0693-9FF3-4992-92D3-44564A3D4D50},10:17.0,MODIFIED ATTRIBUTE,21:40.0,4178.2146,895849.2525,0.054198993,1,0,1,1.12E-06,0.178454918
Residential,1,SCE,SCENIC ACRES,NORTHWEST,ESTABLISHED,1980s/1990s,{856404AF-0113-4144-89F2-9CD4147BF204},{9B704E3E-B8D3-4AC5-ACD1-7E1A83248664},43:03.0,MODIFIED ATTRIBUTE,36:00.0,17432.15189,11239846.61,0.098519286,1,0,1,8.90E-08,0.014223389
Residential,1,SET,SETON,SOUTHEAST,DEVELOPING,2000s,{5E8BCC4E-DD80-442B-AF8D-09BF64884D19},{A156DC36-0718-4BD1-A10C-0991FB47B961},10:36.0,MODIFIED SHAPE,31:36.0,13566.76949,11436237.72,0.400815765,2,2,4,3.50E-07,0.055916538
Residential,1,SHG,SHAGANAPPI,CENTRE,ESTABLISHED,1950s,{85E1298A-33F8-472B-9DDF-D330786175B4},{5F30FD34-1DE5-4741-9893-F353506AFA87},10:19.0,MODIFIED ATTRIBUTE,14:21.0,9127.828859,3741989.216,0.400177102,3,0,3,8.02E-07,0.128168759
Residential,1,SHS,SHAWNEE SLOPES,SOUTH,ESTABLISHED,1980s/1990s,{DB0BCE95-AAEE-4B87-B19D-ACFC54B440FC},{DC253544-E2A5-461B-B7F2-3432C633769C},10:02.0,MODIFIED ATTRIBUTE,52:19.0,9127.507299,3122434.109,0.131424971,1,0,1,3.20E-07,0.051200025
Residential,1,SHN,SHAWNESSY,SOUTH,ESTABLISHED,1980s/1990s,{12ABF003-8B12-4667-9B17-40FB31DC734E},{0EB7A479-086B-42B9-98B4-A463028CD2F0},10:04.0,MODIFIED ATTRIBUTE,30:28.0,15567.50508,9162569.381,0.287817928,2,0,2,2.18E-07,0.034896042
Residential,1,SHW,SHERWOOD,NORTH,COMPLETE,2010s,{3B35064F-50BA-4CB5-8711-F2A7B8873EF7},{C2BD088F-7231-4AEC-9DE1-8110CBC7CC1A},10:24.0,MODIFIED ATTRIBUTE,22:20.0,10309.68817,6077449.643,0.252893429,3,0,3,4.94E-07,0.078915687
Residential,1,SIG,SIGNAL HILL,WEST,ESTABLISHED,1980s/1990s,{F5BEC561-5F67-4D9A-B488-19A74B29274B},{67807B7F-5612-49C8-BE61-A19C360A1817},10:30.0,MODIFIED ATTRIBUTE,26:12.0,16573.27473,13725967.75,0.140409837,2,0,2,1.46E-07,0.023294344
Residential,1,SIL,SILVER SPRINGS,NORTHWEST,ESTABLISHED,1960s/1970s,{02A63B4B-C3B0-48FA-B2F1-E9BB8B7ECF11},{5EFCB91D-7B0F-424F-9CE9-9C1DCCFAEB2C},43:04.0,MODIFIED ATTRIBUTE,36:35.0,16043.15492,12707404.94,0,0,0,0,0,0
Residential,1,SKR,SKYVIEW RANCH,NORTHEAST,DEVELOPING,2000s,{053F01C5-793D-4833-9570-C3648C06E8A6},{209B284E-94BB-414D-86ED-F2E7F611D6D1},10:26.0,MODIFIED SHAPE,37:00.0,11665.44203,5865762.95,0.147792803,2,0,2,3.41E-07,0.054509092
