CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,GLOBALID,GLOBALID_GUID,CREATED_DT,MODIFIED_ACTION,MODIFIED_DT,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Polygon_Count,Service Coverage,SS_Ser_Cov
Residential,1,DIS,DISCOVERY RIDGE,WEST,ESTABLISHED,2000s,{77CC657F-E393-4D01-9500-054EFE2950D4},{40912307-5253-45A7-8C1C-E9CE92199884},10:32.0,MODIFIED ATTRIBUTE,00:14.0,13607.638262244141515,9035411.138028921559453,0,0,0,0
Residential,1,DDG,DOUGLASDALE/GLEN,SOUTHEAST,ESTABLISHED,1980s/1990s,{3515F08C-8C01-4CF1-9B80-433A1F33E1DD},{6643D0BE-CDCA-4630-AEFA-5F8AD3FAD31B},10:34.0,MODIFIED ATTRIBUTE,26:35.0,20617.387046557072608,16203856.903368066996336,0.724646428,3,1.85141E-07,0.036562568
Residential,1,DOV,DOVER,EAST,ESTABLISHED,1960s/1970s,{C0AFE837-6DD6-4139-93E2-FDB61825AE0C},{64A0D3C6-050E-430C-803B-DE5675AA61B5},10:28.0,MODIFIED ATTRIBUTE,25:24.0,14687.017579789498996,10479685.299929846078157,0,0,0,0
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,CENTRE,ESTABLISHED,CENTRE CITY,{6A0589C6-BAF7-403E-A365-FB6072430C3E},{5F3E5691-95BA-4807-B957-DA2B07AEACF4},10:33.0,MODIFIED ATTRIBUTE,32:29.0,8442.935678377762088,3357242.805578659754246,4.174822340861767,17,5.06368E-06,1
Residential,1,DNE,DOWNTOWN EAST VILLAGE,CENTRE,ESTABLISHED,CENTRE CITY,{F2F42121-B802-44AB-B5D3-C4DFCF567BDF},{63662D7C-9176-467A-BCE0-E4D612A70AAF},10:18.0,MODIFIED ATTRIBUTE,33:26.0,5621.719381253711617,1319217.949964115861803,0.463511688,5,3.79012E-06,0.748492207
Residential,1,DNW,DOWNTOWN WEST END,CENTRE,ESTABLISHED,CENTRE CITY,{24462079-A3D0-4EF0-8319-1A0DA0ED8EDA},{F6046AC2-C0A9-466A-B41C-B383C60EFE31},10:12.0,MODIFIED ATTRIBUTE,24:56.0,4462.400580332166101,921076.098726502852514,0.36403388,4,4.34275E-06,0.857626731
Residential,1,EAG,EAGLE RIDGE,SOUTH,ESTABLISHED,1960s/1970s,{65858919-5657-4C5D-9FD5-99AF512C6D66},{D831D7BA-AC4A-40D9-912E-8DADB2FD9B19},10:18.0,MODIFIED ATTRIBUTE,34:22.0,6169.610956567125868,948500.213971806108020,0.274572453,2,2.10859E-06,0.416415027
Residential,1,EAU,EAU CLAIRE,CENTRE,ESTABLISHED,CENTRE CITY,{B9641AA2-98B3-4D9B-9B4E-4039CBABC961},{031B19E8-C813-4B27-BA69-D24B6ECD7726},10:23.0,MODIFIED ATTRIBUTE,03:38.0,5122.146471807252965,1304418.408065883908421,0.034022115,3,2.29988E-06,0.454190626
Residential,1,EDG,EDGEMONT,NORTHWEST,ESTABLISHED,1980s/1990s,{31BFC8A9-EEB5-41D0-B5B8-67FBB8DFF860},{0F6D0CA0-7962-4461-AE8C-0A1213153635},10:21.0,MODIFIED ATTRIBUTE,29:23.0,18313.870995668377873,16786109.672124356031418,0,0,0,0
Residential,1,EPK,ELBOW PARK,CENTRE,ESTABLISHED,INNER CITY,{DCAB5DCF-6A83-4737-9223-BCE32ABEE911},{A70AE11B-6086-4A9F-889F-F88C37BD1C73},10:24.0,MODIFIED ATTRIBUTE,53:20.0,11572.299905022879102,4518605.578509449958801,0,0,0,0
Residential,1,EYA,ELBOYA,CENTRE,ESTABLISHED,1950s,{5089C4AB-1AB7-4387-A364-E7020BE19E9C},{FFB760F9-EEC6-4F1C-8EB0-A7EEB6D6FFCE},10:14.0,MODIFIED ATTRIBUTE,48:45.0,6207.166968473732595,1821047.486026432830840,0,0,0,0
Residential,1,ERI,ERIN WOODS,EAST,ESTABLISHED,1980s/1990s,{8CA4C0CE-E594-4712-84BC-122F6D27411B},{50BCB035-C917-4D57-9878-6C2715337914},10:13.0,MODIFIED ATTRIBUTE,23:59.0,8363.629807427158084,4032503.004800004418939,0,0,0,0
Residential,1,ERL,ERLTON,CENTRE,ESTABLISHED,INNER CITY,{5782469A-75D9-4739-B436-FCEE81127C44},{A312877D-B0E0-42E3-83B2-99452190B617},10:26.0,MODIFIED ATTRIBUTE,01:08.0,6463.804603712647804,1276649.628611374646425,0.128133413,1,7.833E-07,0.154689953
Residential,1,EVN,EVANSTON,NORTH,COMPLETE,2010s,{674A038D-83CF-476B-BE2A-33DE0A0D6071},{ED6AB735-0228-4EF8-9211-EFF2B82330E9},10:03.0,MODIFIED SHAPE,20:31.0,17108.900057802748051,12402281.182017289102077,0,0,0,0
Residential,1,EVE,EVERGREEN,SOUTH,COMPLETE,2000s,{34A8D068-34FE-4249-9114-9CEF9FDFD61A},{010E4859-0843-4DF6-A26C-D3AA3BA7B2D2},10:02.0,MODIFIED ATTRIBUTE,39:41.0,19766.029457304870448,12320093.578613240271807,0,0,0,0
Residential,1,FAI,FAIRVIEW,SOUTH,ESTABLISHED,1950s,{56393E66-EEC3-4F6E-B34B-74F425D864C1},{1249588B-A109-4A2E-A0CC-DD1E6F2A7212},10:32.0,MODIFIED ATTRIBUTE,21:47.0,8111.173514966280891,3327588.116388932801783,0.174896366,3,9.01554E-07,0.178043253
Residential,1,FAL,FALCONRIDGE,NORTHEAST,ESTABLISHED,1980s/1990s,{71613ADB-39EB-47D7-8C59-33BFE0CCDADE},{6FF13BA9-2BC2-49EC-944A-3AD4C471D582},10:04.0,MODIFIED ATTRIBUTE,02:53.0,9549.645629452570574,5462205.398849413730204,0.304152615,2,3.66152E-07,0.072309573
Residential,1,FHT,FOREST HEIGHTS,EAST,ESTABLISHED,1960s/1970s,{268A013E-A21A-4DFE-8059-E033BB217A1D},{D1CE6C35-1FB2-484B-9C5B-0B5B9579783E},10:27.0,MODIFIED ATTRIBUTE,32:04.0,8251.582997744946624,3804082.231977825518698,0,0,0,0
Residential,1,FLN,FOREST LAWN,EAST,ESTABLISHED,1950s,{7D469F32-78A9-4ACF-93D1-FD6F11EF1CA2},{278C8F72-93B6-469F-ACD6-086560808158},10:05.0,MODIFIED ATTRIBUTE,30:56.0,10376.235966494197783,5842006.262322881259024,0.545899361,3,5.13522E-07,0.101412868
