Community Name,Low Income Index,Seniors Index,Public Transit Index,Rent Index
Deer Run,6.313645621181263,19.653767820773933,3.8348082595870214,39.0
Diamond Cove,0.0,33.6,0.0,0.0
Discovery Ridge,6.235565819861432,13.74133949191686,4.10958904109589,50.0
Douglasdale/Glen,4.063467492260061,16.408668730650156,4.202586206896551,33.0
Dover,14.173228346456693,16.767021769337656,11.180904522613066,40.0
Downtown Commercial Core,25.53191489361702,8.085106382978724,38.62595419847328,36.0
Downtown East Village,20.541401273885352,13.21656050955414,22.5,27.0
Downtown West End,16.283185840707965,13.097345132743362,18.497109826589597,27.0
Eagle Ridge,0.0,28.846153846153843,0.0,0.0
Eau Claire,10.133333333333333,33.6,13.636363636363635,33.0
Edgemont,9.0789904949197,19.76401179941003,7.196969696969697,37.0
Elbow Park,7.76255707762557,14.916286149162861,1.2121212121212122,27.0
Elboya,9.809264305177113,13.35149863760218,4.545454545454546,39.0
Erin Woods,10.309278350515463,8.468335787923417,7.509157509157509,19.0
Erlton,10.9375,12.5,7.446808510638298,23.0
Evanston,5.718866916087654,4.649919828968466,3.944315545243619,37.0
Evergreen,5.702598652550529,10.226179018286814,8.6230876216968,33.0
Fairview,12.653061224489795,12.244897959183673,10.652920962199312,31.0
Falconridge,12.929782082324456,8.91041162227603,12.601626016260164,23.0
Fish Creek Park,8.13953488372093,60.46511627906976,0.0,56.00000000000001
Forest Heights,14.11862990810359,12.030075187969924,13.043478260869565,30.0
Forest Lawn,18.464730290456433,10.096818810511756,14.723926380368097,38.0
Garrison Green,6.547619047619048,3.273809523809524,2.7777777777777777,33.0
Garrison Woods,6.118881118881119,13.986013986013987,3.6764705882352944,25.0
Glamorgan,15.43726235741445,12.85171102661597,8.88888888888889,41.0
Glenbrook,13.950276243093922,10.151933701657459,10.575139146567718,34.0
Glendale,9.208103130755065,15.837937384898712,9.316770186335404,35.0
Greenview,14.523809523809526,12.142857142857142,13.714285714285715,36.0
Greenwood/Greenbriar,19.90521327014218,24.644549763033176,9.333333333333334,30.0
Hamptons,7.336956521739131,20.516304347826086,4.096385542168675,49.0
Harvest Hills,6.149903907751442,12.812299807815503,5.409836065573772,23.0
Hawkwood,4.607789358200768,18.5957213384531,6.521739130434782,39.0
Haysboro,9.698275862068966,13.936781609195403,11.864406779661016,42.0
Hidden Valley,6.022530329289428,9.618717504332755,4.597701149425287,31.0
Highland Park,17.783191230207066,73.69062119366626,16.181229773462782,35.0
Highwood,9.297052154195011,68.70748299319727,6.802721088435375,35.0
Hillhurst,11.78082191780822,74.06392694063926,12.745098039215689,34.0
Hounsfeild Heights/Briar Hill,8.097165991902834,17.813765182186234,7.586206896551724,32.0
Hungtington Hills,13.338414634146343,65.58689024390245,11.830357142857142,33.0
Inglewood,11.743341404358354,77.23970944309927,4.166666666666666,36.0
Kelvin Groove,9.97229916897507,66.4819944598338,5.932203389830509,45.0
Killarney/Glengarry,9.91161616161616,8.27020202020202,14.67391304347826,35.0
Kincora,7.610241820768136,9.174964438122332,4.3314500941619585,35.0
Kingsland,14.591836734693878,10.0,12.296983758700694,36.0
Lake Bonavista,3.8442582552981768,21.833415475603747,3.327495621716287,28.000000000000004
Lakeview,7.890070921985816,16.312056737588655,3.9877300613496938,42.0
Legacy,5.617283950617284,5.493827160493827,5.3019145802650955,26.0
Lincoln Park,27.358490566037734,15.40880503144654,10.204081632653061,40.0
Livingston,3.5131744040150563,4.1405269761606025,4.391891891891892,31.0
Lower Mount Royal,15.551839464882944,10.702341137123746,13.807531380753138,37.0
MacEwan Glen,6.645569620253164,17.088607594936708,4.377104377104377,17.0
Mahogany,4.545454545454546,6.457431457431458,2.893890675241158,37.0
Manchester,28.947368421052634,2.631578947368421,22.352941176470587,38.0
Maple Ridge,7.923497267759563,20.76502732240437,0.0,70.0
Marlborough Park,11.22334455667789,15.31986531986532,13.629402756508421,31.0
Martindale,9.07840440165062,8.59697386519945,13.104013104013104,28.999999999999996
Mayfair,0.0,12.195121951219512,0.0,0.0
Mayland Heights,14.09282700421941,13.41772151898734,7.709750566893425,32.0
McKenzie Lake,5.793829947328819,11.963882618510159,2.928870292887029,26.0
McKenzie Towne,5.655526992287918,8.768923164810055,4.513888888888888,32.0
Meadowlark Park,9.836065573770492,5.737704918032787,6.976744186046512,50.0
Midnapore,8.641975308641975,16.89814814814815,6.493506493506494,41.0
Millirise,7.663410969196092,13.223140495867769,11.218568665377175,36.0
Mission,12.20865704772475,11.320754716981133,7.365439093484419,31.0
Monterey Park,8.066825775656325,14.653937947494033,7.334963325183375,37.0
Montgomery,11.497005988023952,11.017964071856287,7.2727272727272725,30.0
Mount Pleasant,9.723320158102766,9.328063241106719,8.179419525065962,35.0
New Brighton,3.958090803259604,4.307334109429569,5.595116988809766,30.0
Nolan Hill,5.08280982295831,3.712164477441462,5.2631578947368425,31.0
North Glenmore Park ,5.95482546201232,16.01642710472279,5.517241379310345,28.000000000000004
North Haven,8.456659619450317,17.970401691331926,5.384615384615384,23.0
North Haven Upper,4.6875,27.34375,12.5,0.0
Oakridge,6.227758007117438,22.330960854092528,6.461538461538462,31.0
Ogden,12.988574864702345,14.85267588695129,8.272859216255442,34.0
Palliser,9.28462709284627,26.17960426179604,6.111111111111111,43.0
Panorama Hills,7.1470530644213826,8.987663990601135,6.599882144961697,35.0
Parkdale,11.73913043478261,12.391304347826088,4.285714285714286,32.0
Parkhill,10.16949152542373,16.94915254237288,6.779661016949152,35.0
Parkland,4.956268221574344,27.988338192419825,2.209944751381215,41.0
Patterson,8.926417370325694,20.989143546441497,10.756972111553784,41.0
Penbrooke Meadows,14.632665452337584,12.082574377656345,11.666666666666666,32.0
Pine Creek,,0.0,0.0,
Pineridge,14.51776649746193,15.431472081218276,9.971910112359552,38.0
Point McKay,9.774436090225564,24.43609022556391,3.3333333333333335,36.0
Pump Hill,10.309278350515463,31.27147766323024,5.357142857142857,45.0
Queens Park Village,12.0,8.0,32.14285714285714,43.0
Queensland,8.069792802617231,13.413304252998909,7.368421052631578,26.0
Ramsay,9.51276102088167,7.192575406032482,8.666666666666668,33.0
Ranchlands,10.68090787716956,12.349799732977303,8.653846153846153,27.0
Red Carpet,16.9054441260745,17.478510028653297,12.40875912408759,40.0
Redstone,5.524861878453039,5.359116022099448,8.16326530612245,32.0
Renfrew,8.358662613981762,8.814589665653495,7.900207900207901,27.0
Richmond,8.0,9.80952380952381,8.238636363636363,32.0
Rideau Park,5.9259259259259265,37.03703703703704,0.0,0.0
Riverbend,5.431830526887562,14.557305812058663,5.516265912305516,28.999999999999996
Rocky Ridge,4.8200122025625385,12.446613788895668,6.007751937984496,31.0
