,Community,Blue Trips,Blue Freq,Red Trips,Red Freq,Green Trips,Green Freq,Teal Trips,Teal Freq,Orange Trips,Orange Freq,Yellow Trips,Yellow Freq,Purple Trips,Purple Freq,East Gray Trips,East Gray Freq,West Gray Trips,West Gray Freq,Future Brentwood Trips,Future Brentwood Freq,Future Tuscany Trips,Future Tuscany Freq,Population,Total Freq,Sum Train Capacity,Sum Bus Capacity,Capacity Index,SS Freq,SS Cap
37,Downtown Commercial District,193,8.9333,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3275,15.633299999999998,382200,0,116.70229007633588,0.16471449718948702,0.10482113527404881
38,Downtown West End,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2290,18.6833,115800,4875,52.69650655021834,0.19684969682282968,0.04733161309822742
39,Eagle Ridge,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14095,9.75,0,4875,0.3458673288400142,0.10272727751642319,0.0003106554810492484
40,East Village,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,0,0.0,0,0.0,0,0.0,0,0.0,5610,20.5172,0,8255,1.4714795008912656,0.21617190751384183,0.0013216720230170476
41,Eau Claire  ,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6190,6.7,266400,0,43.03715670436188,0.07059207788308056,0.038655656386584525
42,Edgemont   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7150,0.0,0,0,0.0,0.0,0.0
43,Erin Woods,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3660,0.0,0,0,0.0,0.0,0.0
44,Erlton,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2040,6.7,266400,0,130.58823529411765,0.07059207788308056,0.11729338874164617
45,Evanston   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17350,0.0,0,0,0.0,0.0,0.0
46,Fairview,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,20850,78.4615,0,21125,1.013189448441247,0.8266806446004963,0.0009100392816955879
